SMILES,Code
CC(C)[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(O)=O)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O,21-7-25
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,31-18-6
CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O,5-31-12
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,6-25-25
COC(=O)c1c(O)cc(O)c(Cl)c1CCc1nccn1Cc1ccno1,10-22-8
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12,24-31-30
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,9-11-11
CCCCCNc1nc(NCc2ccccc2)c2ncn(CC(O)=O)c2n1,19-19-14
O[C@@H](CNCCCCNC(=O)CCCCCNC(=O)COc1ccc(\C=C\c2ccc3C=C4C=CC(c5cccs5)=[N+]4[B-](F)(F)n23)cc1)COc1cccc2ccccc12,11-18-30
Fc1ccc(C(=O)NOCC2CC2)c(Nc2ccc(I)cc2Cl)c1F,14-13-23
C(CCc1cnc[nH]1)CNCCc1cnc(CCC(c2ccccc2)c2ccccc2)[nH]1,9-26-25
CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n(-c2cccc(n2)C(C)(C)O)n(CC=C)c3=O)cc1,21-31-2
Fc1ccccc1C1Nc2ccccc2C(=O)N1CCN1CCC(CC1)N1C(Nc2ccccc2C1=O)c1ccccc1F,24-10-29
OCCn1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,15-5-26
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(cc(c4)C(F)(F)F)C(=O)N4CCOCC4)c3)c2cc1OC,29-18-14
OC(=O)CCCc1c[nH]c2ccccc12,6-11-10
Cc1[nH]c(\C=C2|C(=O)Nc3ccc(F)cc23)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,25-16-18
COC(=O)c1ccc(OCCCc2cnc[nH]2)cc1,13-21-22
COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,27-14-22
Cn1cc(cn1)-c1ccc2nnc(Sc3ccc4ncccc4c3)n2n1,12-30-27
CCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(=O)CCC,15-22-6
COc1c(Cl)cc2c3ccncc3[nH]c2c1NC(=O)c1cccnc1C,15-2-16
OC(=O)c1sc2cc(ccc2c1Cl)-n1c(n[nH]c1=S)-c1ccc(Br)cc1,19-11-15
CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,31-6-16
CCOc1ccc(cc1Cc1c(O)nc(N)[nH]c1=O)C(C)=O,13-23-13
Cc1nc2c(N)cc(nn2c1Cc1cccc2CCNCc12)N1CCOCC1,25-13-16
Brc1cc(C(=O)NS(=O)(=O)c2ccccc2)c2oc(cc(=O)c2c1)-c1ccc(OCc2ccc3ccccc3n2)cc1,20-16-21
CN1CCCN(CC1)c1ccc(cc1NC(=O)c1ccccc1Cl)[N+]([O-])=O,9-17-26
NS(=O)(=O)C(F)(F)F,17-10-5
CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc12,30-15-25
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,9-25-14
CCOC(=O)[C@@]1(CCCN(C)[C@H]1C)c1cccc(O)c1,10-17-24
Cc1nc2c(N)cc(nn2c1Nc1cccc(c1CN1CC2(CCS2(=O)=O)C1)C(F)(F)F)N1CCOCC1,26-15-19
COc1cc(OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CNc2cc(F)cc(c2)-c2ccc(cn2)C(O)=O)c(Cl)cc1NC(=O)CSc1ccc(cn1)C(O)=O,20-17-18
CN(C)CC(=O)N1CCC(CC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1,30-18-28
Cc1cc2c(cc1C1(CO1)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C,15-14-28
Cc1nc(C)c(s1)-c1ccnc(Nc2cccc(c2)C#N)n1,24-29-18
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc12,7-16-8
Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@@H]([C@H]2O)n2cc(nn2)-c2ccc(Br)cc2)cc1,15-3-29
Nc1nc(Nc2ccc(cc2)C#N)nc(n1)-c1ccc(CO)o1,17-21-16
CC[C@H](C)[C@H](NC(=O)CNC(=O)[C@H](CCCCNC(=O)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc12)NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,21-9-28
COc1cccc2C[C@@H]3[C@H](C[C@H](CN3C)C(=O)N3CCN(CC3)c3ccc4nsnc4c3)Cc12,15-25-31
Cn1ccnc1C(=O)Nc1cccnc1,9-21-16
Cc1nc2c(N)cc(nn2c1Nc1ccccc1CN1CCOCC1)N1CCOCC1,28-16-16
CCOc1cc2c(Oc3cccc(NC(=O)Nc4cc(nn4-c4ccccc4)C(C)(C)C)c3)ncnc2cc1OC,30-22-9
OC(=O)CCCC\C=C(|c1ccc(cc1)-c1nc(co1)C(=O)NCCCCC1CCCCC1)c1cccnc1,18-7-21
Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)nn1C(=O)c1c(F)cccc1F,29-14-4
Cc1nc2c(cc(nn2c1Nc1cccc(c1CN1CC(O)C1)C(F)(F)F)N1CCOCC1)-c1cnc[nH]1,24-18-23
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,25-18-19
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc1ccc(OP(O)(O)=O)cc1)NC(=O)CNC(=O)c1ccc(cc1)\N=N\c1ccc(CNC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(OP(O)(O)=O)cc2)NC(C)=O)[C@H](C)O)cc1)[C@H](C)O)C(N)=O,24-5-15
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(Cl)cc(c4)C(F)(F)F)c3)c2cc1OC,30-18-10
CC(C)(C)c1ccc(cc1)-c1ccc(cc1)C(O)=O,16-16-21
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CCC(N)=O)NC1=O)C(=O)N(C)CC(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O,17-6-30
CO[C@H]1O[C@H](CNC(=O)CN(C(C)=O)c2ccccc2)[C@@H](OS([O-])(=O)=O)[C@H](OS([O-])(=O)=O)[C@@H]1OS([O-])(=O)=O,22-4-14
CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,14-16-23
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,31-11-22
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(on4)C(C)(C)C)c3)c2cc1OCCCS(C)(=O)=O,30-19-17
COc1cc2cc(cnc2cc1OC)-c1ccc(CC(=O)Nc2cc(on2)C(C)(C)C(F)(F)F)c(F)c1,27-22-21
O=C(Nc1ncccn1)N1CCC(Cc2cnc[nH]2)CC1,19-21-25
O=c1c2cccc3cccc(c23)c1=O,6-22-11
Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F,31-31-25
Cc1ccc(cc1C(O)=O)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C,18-21-15
CSCC[C@H]1NC(=O)[C@H](CC(C)C)N2C=CC(NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](CCC(N)=O)NC1=O)C2=O,17-9-28
COc1ccc(CCc2nc3cc(ccc3n2C[C@H](C)N2CCOCC2)-c2c(C)noc2C)cc1Cl,5-29-9
Fc1ccc2c(noc2c1)C1CCN(CC2Cc3sccc3C(=O)C2)CC1,4-25-30
COc1cc2ncnc(Oc3cc(NC(=O)Nc4cc(on4)C(C)(C)C)ccc3F)c2cc1OC,31-17-16
COc1cc2nc(nc(N)c2cc1OC)N(C)CCCCCCN(C)C(=O)c1ccc(CN(C)C)o1,9-22-28
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(O)=O,4-12-25
CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)-c1cc(OCC(=O)Nc2ccc3OCOc3c2)nn1C,21-25-26
COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCOCC1,28-24-11
C\C(\C=C\C1=C(C)CCCC1(C)C)=C|C=C|C(|C)=C|C(O)=O,0-13-21
CCCCCC\C=C\c1ccc(cc1)C([O-])=O,10-9-27
CO\N=C1|[C@@H](C)\C=C(C)\[C@H](OC(N)=O)[C@@H](OC)C=CC=C(C)C(=O)Nc2cc(O)c(N=CCN(C)C)c(C[C@@H](C)C[C@@H]1OC)c2O,27-3-6
CC(C)=CC[C@@H](C[C@@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)C1=O)C2=O)C(C)=C,21-7-14
COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,27-13-18
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCc2ccccc12)C(C)(C)C,16-1-19
COc1ccc(cc1)-n1nc(cc1NC(=O)Nc1cccc(Sc2ncnc3cc(OC)c(OC)cc23)c1)C(C)C,30-24-12
COc1ccc(C[C@@H](C)NC[C@@H]2Oc3ccccc3O[C@@H]2C)cc1S(N)(=O)=O,18-21-26
COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC,28-31-10
COc1ncnc(NCCc2ccc(cc2)S(N)(=O)=O)c1[N+]([O-])=O,26-2-7
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1,31-15-26
CC(C)(C)c1cc(NC(=O)Cc2ccc(cc2)-c2cnc3[nH]c(cc3c2)C(=O)NCCS(C)(=O)=O)no1,26-23-17
CCOc1c2ccoc2c(OCC)c2oc(=O)ccc12,14-24-19
COc1cccc2C[C@@H]3[C@H](C[C@H](CN3C)C(=O)N3CCN(CC3)c3ccc(cc3C#N)[N+]([O-])=O)Cc12,13-23-30
Cc1cnc2c(NCCN)nc3ccc(C)cc3n12,13-23-27
COc1cccc(OC)c1OCCNC[C@H]1COc2cccc(OC)c2O1,11-27-31
Fc1ccc(Cl)c(F)c1C1CC(Nc2nnnn12)c1cccc(Br)c1,21-14-26
C[C@H]1CCc2cc(ccc2N1C(=O)c1ccc(O)cc1O)-c1nc(Cl)ncc1C,19-19-16
COC(=O)\C=C1\C[C@H]2C[C@]3(O)O[C@@H](C[C@H](OC(C)=O)C3(C)C)C[C@@H](O)CC(=O)O[C@H](C[C@@H]3C\C(=C|C(=O)OC)[C@H](OC(C)=O)[C@@](O)(O3)C(C)(C)\C=C\[C@@H](C1)O2)[C@@H](C)O,18-25-6
CC(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C,21-6-25
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc12,3-29-24
COc1ccc(CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(OP(O)(O)=O)cc2)NC(C)=O)cc1OC,23-4-14
CC(C)(C)NC(=O)[C@@H]1Cc2ccccc2CN1Cc1cc(nc2ccccc12)-c1ccc2ccccc2c1,22-8-29
Cc1nc2c(N)cc(nn2c1Nc1cccc(c1CN1CC(C1)S(C)(=O)=O)C(F)(F)F)N1CCOCC1,26-16-21
COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(no4)C(C)(C)F)c3)c2cc1OC,30-18-15
CC(=O)N[C@@H]1[C@@H](O)C[C@](OCc2cnn[nH]2)(O[C@H]1[C@H](O)[C@@H](O)CNC(=O)c1ccccc1)C([O-])=O,13-1-26
COc1cccc(Sc2ccc(cc2)C(=O)NCC(c2ccccc2)n2ccnc2)c1,17-13-24
CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)n(n1)-c1cccc(c1)[N+]([O-])=O,14-17-19
OC(=O)\C=C\C(=O)Nc1ccc(Nc2ccccc2)cc1,18-14-8
CC(C)NCC(O)COC(=O)C1CCCCC1,9-21-22
CCN(CC)C(=O)N[C@@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,6-25-30
Cc1c(CCC(O)=O)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(C)c5C=C)c(C)c4C=C)c(C)c3CCC(O)=O,4-13-9
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C,14-26-17
CO[C@@H]1O[C@@H](COS(O)(=O)=O)[C@@H](O[C@@H]2O[C@@H](COS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@@H]1OS(O)(=O)=O,21-4-10
CS(O)(=O)=O.Cc1c(Cc2c(CO)nc3c(N)cc(nn23)N2CCOCC2)cccc1C(F)(F)F,25-15-18
Cc1ccc2oc(nc2c1)N1CCC2(CCCC(=O)N2Cc2cccc3[nH]ccc23)CC1,14-22-25
NS(=O)(=O)Cc1noc2ccccc12,1-14-16
CCOc1nc2ccccc2nc1C(=O)NCCN(CC)CC,13-22-17
C[C@@H](OP(O)(O)=O)[C@H](NC(=O)Cc1ccccc1)C(=O)N1CCC[C@H]1C(N)=O,24-6-15
Cc1cc(Cl)ccc1COc1ccnn1-c1cc(ccn1)C(O)=O,19-17-17
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12,4-31-16
COc1cccc(OC)c1OCCNC[C@H]1COc2cccc(O)c2O1,14-22-29
COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(nn4-c4ccncc4)C(C)(C)C)c3)c2cc1OC,30-21-13
COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(nn4-c4ccc(Cl)cc4)C(C)(C)C)c3)c2cc1OC,30-19-14
COc1ccc(cc1OC)[C@H]1CN(Cc2c(C)cccc2F)C[C@@H]1N(C)C,17-22-24
